brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
sunuv,20010.0,18423.0,2095.0,1217.0,524.0,1333.0,223.0,7.235520816370841,12.983293556085918,87.01670644391409,1823.0,36.372315035799524
deoproce,3101.0,2546.0,715.0,319.0,156.0,364.0,54.0,14.29693637077769,13.006993006993007,86.993006993007,622.0,49.09090909090909
bodyton,11279.0,8425.0,3098.0,1616.0,717.0,1348.0,216.0,16.0,13.040671400903808,86.95932859909618,2694.0,56.48805681084571
lovely,73456.0,43671.0,26819.0,13083.0,6971.0,7137.0,1067.0,16.342653019166036,13.050449308326186,86.94955069167382,23319.0,73.38826951042171
inoface,1778.0,1038.0,695.0,370.0,155.0,211.0,32.0,20.327552986512522,13.237410071942445,86.76258992805755,603.0,69.64028776978417
de.lux,55643.0,26041.0,23180.0,12187.0,7027.0,4636.0,627.0,17.802695749011175,13.343399482312337,86.65660051768766,20087.0,80.0
milv,112062.0,58234.0,44565.0,24243.0,12630.0,9730.0,1385.0,16.70845210701652,13.373723774262313,86.62627622573768,38605.0,78.1667227645013
staleks,73920.0,53494.0,20703.0,11293.0,5775.0,8617.0,1345.0,16.108348599842973,13.428005603052698,86.5719943969473,17923.0,58.378012848379456
ecolab,11948.0,7115.0,4337.0,2275.0,1043.0,1084.0,177.0,15.23541813070977,13.488586580585658,86.51141341941434,3752.0,75.00576435323957
lakme,4660.0,3784.0,1086.0,501.0,232.0,508.0,90.0,13.424947145877377,13.535911602209943,86.46408839779005,939.0,53.22283609576427
riche,2542.0,2244.0,383.0,136.0,81.0,173.0,29.0,7.709447415329768,13.577023498694519,86.42297650130548,331.0,54.83028720626631
runail,979518.0,521451.0,380899.0,203828.0,110560.0,86358.0,13242.0,16.561095865191554,13.585753703737735,86.41424629626226,329151.0,77.32784806471007
entity,13807.0,9144.0,3747.0,2217.0,1069.0,886.0,122.0,9.689413823272092,13.637576728049105,86.36242327195089,3236.0,76.3544168668268
lebelage,2810.0,1879.0,950.0,501.0,222.0,323.0,54.0,17.189994678020224,13.684210526315791,86.31578947368422,820.0,66.0
petitfee,3459.0,2506.0,1008.0,564.0,232.0,413.0,76.0,16.480446927374302,13.690476190476192,86.30952380952381,870.0,59.02777777777778
bergamo,1630.0,935.0,584.0,339.0,132.0,123.0,15.0,13.155080213903744,13.698630136986301,86.3013698630137,504.0,78.93835616438356
parachute,4856.0,3818.0,1029.0,489.0,241.0,348.0,46.0,9.114719748559455,13.79980563654033,86.20019436345967,887.0,66.1807580174927
gezatone,3706.0,3492.0,304.0,137.0,65.0,184.0,35.0,5.2691867124856815,13.815789473684212,86.18421052631578,262.0,39.473684210526315
solomeya,34325.0,25335.0,9253.0,4569.0,2386.0,3433.0,449.0,13.550424314189858,13.822544039770884,86.17745596022911,7974.0,62.89851939911381
matrix,18779.0,13994.0,5034.0,2542.0,1129.0,1747.0,280.0,12.483921680720309,13.845848232022249,86.15415176797775,4337.0,65.29598728645213
uno,173430.0,104591.0,59551.0,30287.0,17439.0,14583.0,2107.0,13.942882274765514,13.907407096438346,86.09259290356165,51269.0,75.51174623432017
swarovski,30515.0,11679.0,13968.0,7976.0,3999.0,1704.0,241.0,14.590290264577446,13.91036655211913,86.08963344788087,12025.0,87.80068728522336
protokeratin,2298.0,1958.0,538.0,216.0,117.0,314.0,39.0,16.036772216547497,13.940520446096654,86.05947955390334,463.0,41.63568773234201
